label,cluster,file
MNAT,2,MNAT/2_MNAT_1aab37e67937e8d213277a7cf6997da2516a8ca208036d93b6360df25fd1057c-1.png
MNAT,0,MNAT/2_MNAT_1c60d79289498ed32dc13f53c9a736d3547c0ba0982d5ff359f921e4401966ae-0.png
MNAT,7,MNAT/2_MNAT_d5b6e73c0c4090ec73f650f846d123b37ba2abb95911a298c0c326e21b955190-2.png
MNAT,0,MNAT/2_MNAT_3b823183c96b2df386da799a8296ba2d42dbe21c550d5fb0289501ec7bd4cc3f-2.png
MNAT,0,MNAT/2_MNAT_df2730b1d6681175ce1baf1d233d5551b75545a0ed2f0be034e8b58b73024de5-0.png
MNAT,0,MNAT/2_MNAT_b39bcb6791b81545248046826bf4da2e6504dc16d338bf8111aa19a52b6addbf-0.png
MNAT,0,MNAT/2_MNAT_d5b6e73c0c4090ec73f650f846d123b37ba2abb95911a298c0c326e21b955190-1.png
MNAT,0,MNAT/2_MNAT_f8f06e8308772d035f95d0ba6b598cc203f88c3ba40a0529455d1f1d2f59d95e-0.png
MNAT,0,MNAT/2_MNAT_b22b5419364d58b6d83bac64e63e82af03135d464a2b459c17ebb5dc11fffac4-0.png
MNAT,0,MNAT/2_MNAT_a74e441d424657cabf58f2c870d0cbe2eb6352f75a31df91935cb8ab2ef788e3-1.png
MNAT,7,MNAT/2_MNAT_1fd5b03c8ae035b3dc1a9990298310b58bf5a2aec931f8b2372ccaf7124dd125-4.png
MNAT,0,MNAT/2_MNAT_9fdf1dac5900f2bb9bb342c8a8fdd103bce4c9b0dac2d471f778dd9af6ab4991-0.png
MNAT,0,MNAT/2_MNAT_5fe0b4ac0b655f52ac671ec8370f5d8fc2b3e1929db6d81d22209a2a64b4e7f3-0.png
MNAT,0,MNAT/2_MNAT_868caebe048721b2a2c6c09ac6d7a40181793a5ec711513fe7e61cb3cb47be09-0.png
MNAT,0,MNAT/2_MNAT_3074d843046ee225e101f5de98f777142c216bf68b5366d164395eb9a41035d6-1.png
MNAT,0,MNAT/2_MNAT_1aab37e67937e8d213277a7cf6997da2516a8ca208036d93b6360df25fd1057c-0.png
MNAT,0,MNAT/2_MNAT_e6ace697ea454838cffd255dbdf843a304724136404b30b174bece6c14e28802-0.png
MNAT,9,MNAT/2_MNAT_1fd5b03c8ae035b3dc1a9990298310b58bf5a2aec931f8b2372ccaf7124dd125-1.png
MNAT,7,MNAT/2_MNAT_61c18b43d04c4f8606acb4f2b168255855a0ff1af9f130309986186b5e0018ec-1.png
MNAT,4,MNAT/2_MNAT_84ac58ab210d0422f9ec5db44903992ecc4aaa01183fe1915ebc3280eaaa202c-5.png
MNAT,0,MNAT/2_MNAT_5c99d6184e599223973f099b389b3de62a67a120a1bcecf10b5cc140d329143b-0.png
MNAT,2,MNAT/2_MNAT_d5e984ff7fda386e70242878d272ce24df3707c9e361f6ce41cbc07e9d3e6af3-3.png
MNAT,0,MNAT/2_MNAT_e64e817770c8485e37117951fb6ee4e698f077334ed216a6c4a5587b0a50267a-0.png
MNAT,0,MNAT/2_MNAT_448992b5dc90efc9fb59eebcde426bc4f872f8547a9e061124e05f02e8d1fca6-2.png
MNAT,9,MNAT/2_MNAT_be8bab7a02d3c0a978fc5c36ce62f4e964d089489274610f2ffdd612867918e1-5.png
MNAT,7,MNAT/2_MNAT_48ded6dc4d028d9379bf34b9152625ad10472111c23fca310007b7d05f4a4154-1.png
MNAT,7,MNAT/2_MNAT_b39bcb6791b81545248046826bf4da2e6504dc16d338bf8111aa19a52b6addbf-3.png
MNAT,0,MNAT/2_MNAT_768ed145244911f46c47361867c3e883acf848bded4049e95572b16b42c8d1cc-0.png
MNAT,0,MNAT/2_MNAT_f931c107763b2d6a9725ab13b9fecc2ae542d4c794b49ae43be0783583cc8421-3.png
MNAT,7,MNAT/2_MNAT_eb9fb1f9deea54a3d5f6da187ed94b21a62dda682cd28a51f8ed437e1bf37331-0.png
MNAT,9,MNAT/2_MNAT_50612f256dde3b94dc273767489a9d3a7caf3d64bf2bef3fd38dcf187fe651b6-1.png
MNAT,9,MNAT/2_MNAT_4c4383326c44d007f4b18529d2d745516dab24c3efee10002b5cfad1e602176c-1.png
MNAT,0,MNAT/2_MNAT_906f272c5c91b8bfab3c528c9fbef6eee6711bc61f3d8d2aec763ba1a199ac4e-0.png
MNAT,9,MNAT/2_MNAT_f8f06e8308772d035f95d0ba6b598cc203f88c3ba40a0529455d1f1d2f59d95e-2.png
MNAT,11,MNAT/2_MNAT_07b7a85eb26b9492c5b147fe2ea60fdad25b15762412b7c30652940fe4323ab7-2.png
MNAT,0,MNAT/2_MNAT_6b6a2d3717a6c32f8641ccc44778c420de9961b37b38a2fcc653087ef35b0292-0.png
MNAT,0,MNAT/2_MNAT_178c94ef2fda7ff79fde36118f6321e96fcb8405c55379a8d55643b531031e7c-0.png
MNAT,0,MNAT/2_MNAT_3674d82ae7c66d019ebdc6acd32155974ba6e70fd00205de1b166c52f0262b11-0.png
MNAT,7,MNAT/2_MNAT_fa3fed40438aa8d817792a4438388dbc65f0fd7109da0a1ea413da3dd5e0daaf-1.png
MNAT,0,MNAT/2_MNAT_870a9d120cfb5730d09e6b9a6cb89a8027ffb082450658077a611c81c1541d7e-0.png
MNAT,2,MNAT/2_MNAT_1639734bb6bc13ad73bc93a660cb22f2ed13aad67cb364ae95c84f369014ff1e-3.png
